feature_group,model_name,validation_mae
combined,xgboost,1.069835760415989
combined,random_forest,1.0988141837961165
combined,linear,1.1584983262571633
combined,ridge,1.1585051970152513
serve,xgboost,1.2877009277874627
serve,random_forest,1.324021362036108
serve,ridge,1.3283223747040105
serve,linear,1.328323262026052
other,xgboost,1.8848345096949324
other,ridge,1.8920248547530383
other,linear,1.8920308020348953
other,random_forest,1.9395331252143315
combined,dummy_median,2.0
other,dummy_median,2.0
serve,dummy_median,2.0
serve,dummy_mean,2.076100140825076
combined,dummy_mean,2.076100140825076
other,dummy_mean,2.076100140825076
