feature,importance_mean,importance_std
first_serve_points_won_pct_diff,0.8632686401397102,0.016391961986206585
second_serve_points_won_pct_diff,0.550429193215215,0.009750289691337155
best_of,0.290652483751345,0.007617581771519092
break_points_saved_pct_diff,0.21411200352193935,0.008292400944144438
first_serve_pct_diff,0.09496732678544458,0.0057588110866873595
ace_diff,0.0236791568684529,0.0022778591915209264
tourney_level,0.013420752926048007,0.0011383287850854791
surface,0.011399767711783537,0.0015271051538577303
rank_diff,0.004364556830478483,0.001228348533778595
double_fault_diff,0.004320929573032361,0.0005882875737511699
height_diff,0.0012018549030225589,0.0005806007410938851
round,0.0003089715072405408,0.00040893499946389393
age_diff,-0.001123231105136635,0.0010230723011608665
